subject,trial_index,session,label_index,label_name,split
1,0,0train,3,tongue,val
1,1,0train,2,feet,val
1,2,0train,1,right_hand,train
1,3,0train,0,left_hand,train
1,4,0train,0,left_hand,val
1,5,0train,1,right_hand,train
1,6,0train,2,feet,train
1,7,0train,3,tongue,train
1,8,0train,1,right_hand,train
1,9,0train,2,feet,train
1,10,0train,0,left_hand,train
1,11,0train,0,left_hand,train
1,12,0train,0,left_hand,train
1,13,0train,3,tongue,train
1,14,0train,1,right_hand,train
1,15,0train,1,right_hand,val
1,16,0train,0,left_hand,train
1,17,0train,0,left_hand,train
1,18,0train,2,feet,train
1,19,0train,0,left_hand,train
1,20,0train,1,right_hand,train
1,21,0train,3,tongue,train
1,22,0train,3,tongue,train
1,23,0train,2,feet,train
1,24,0train,0,left_hand,train
1,25,0train,3,tongue,train
1,26,0train,3,tongue,train
1,27,0train,1,right_hand,train
1,28,0train,3,tongue,train
1,29,0train,3,tongue,train
1,30,0train,1,right_hand,train
1,31,0train,0,left_hand,train
1,32,0train,1,right_hand,train
1,33,0train,2,feet,train
1,34,0train,2,feet,train
1,35,0train,2,feet,train
1,36,0train,3,tongue,train
1,37,0train,2,feet,train
1,38,0train,0,left_hand,train
1,39,0train,3,tongue,train
1,40,0train,1,right_hand,train
1,41,0train,2,feet,train
1,42,0train,1,right_hand,train
1,43,0train,2,feet,train
1,44,0train,3,tongue,train
1,45,0train,1,right_hand,train
1,46,0train,2,feet,train
1,47,0train,0,left_hand,train
1,48,0train,0,left_hand,train
1,49,0train,0,left_hand,train
1,50,0train,3,tongue,train
1,51,0train,1,right_hand,val
1,52,0train,0,left_hand,train
1,53,0train,2,feet,train
1,54,0train,0,left_hand,train
1,55,0train,2,feet,train
1,56,0train,1,right_hand,train
1,57,0train,3,tongue,train
1,58,0train,0,left_hand,train
1,59,0train,2,feet,train
1,60,0train,2,feet,train
1,61,0train,0,left_hand,train
1,62,0train,2,feet,train
1,63,0train,1,right_hand,train
1,64,0train,3,tongue,train
1,65,0train,3,tongue,val
1,66,0train,3,tongue,train
1,67,0train,2,feet,train
1,68,0train,0,left_hand,val
1,69,0train,3,tongue,val
1,70,0train,1,right_hand,train
1,71,0train,3,tongue,train
1,72,0train,1,right_hand,train
1,73,0train,0,left_hand,train
1,74,0train,2,feet,train
1,75,0train,1,right_hand,train
1,76,0train,0,left_hand,train
1,77,0train,2,feet,train
1,78,0train,2,feet,train
1,79,0train,0,left_hand,val
1,80,0train,2,feet,val
1,81,0train,3,tongue,train
1,82,0train,3,tongue,train
1,83,0train,1,right_hand,train
1,84,0train,0,left_hand,train
1,85,0train,1,right_hand,val
1,86,0train,3,tongue,train
1,87,0train,1,right_hand,train
1,88,0train,3,tongue,val
1,89,0train,2,feet,val
1,90,0train,1,right_hand,train
1,91,0train,1,right_hand,train
1,92,0train,1,right_hand,train
1,93,0train,2,feet,val
1,94,0train,3,tongue,val
1,95,0train,0,left_hand,train
1,96,0train,1,right_hand,train
1,97,0train,3,tongue,train
1,98,0train,0,left_hand,train
1,99,0train,2,feet,train
1,100,0train,2,feet,train
1,101,0train,3,tongue,train
1,102,0train,0,left_hand,train
1,103,0train,0,left_hand,train
1,104,0train,2,feet,val
1,105,0train,1,right_hand,train
1,106,0train,3,tongue,train
1,107,0train,3,tongue,train
1,108,0train,3,tongue,train
1,109,0train,1,right_hand,train
1,110,0train,0,left_hand,val
1,111,0train,2,feet,train
1,112,0train,1,right_hand,train
1,113,0train,3,tongue,train
1,114,0train,0,left_hand,train
1,115,0train,3,tongue,val
1,116,0train,2,feet,train
1,117,0train,1,right_hand,train
1,118,0train,3,tongue,train
1,119,0train,3,tongue,val
1,120,0train,0,left_hand,train
1,121,0train,1,right_hand,train
1,122,0train,1,right_hand,val
1,123,0train,2,feet,train
1,124,0train,3,tongue,train
1,125,0train,1,right_hand,train
1,126,0train,0,left_hand,train
1,127,0train,0,left_hand,train
1,128,0train,3,tongue,train
1,129,0train,1,right_hand,train
1,130,0train,0,left_hand,train
1,131,0train,2,feet,train
1,132,0train,1,right_hand,val
1,133,0train,1,right_hand,train
1,134,0train,2,feet,train
1,135,0train,0,left_hand,train
1,136,0train,3,tongue,train
1,137,0train,2,feet,val
1,138,0train,2,feet,train
1,139,0train,2,feet,train
1,140,0train,2,feet,train
1,141,0train,0,left_hand,train
1,142,0train,1,right_hand,train
1,143,0train,0,left_hand,train
1,144,0train,1,right_hand,train
1,145,0train,0,left_hand,train
1,146,0train,0,left_hand,train
1,147,0train,2,feet,val
1,148,0train,2,feet,train
1,149,0train,1,right_hand,val
1,150,0train,2,feet,train
1,151,0train,3,tongue,train
1,152,0train,0,left_hand,train
1,153,0train,3,tongue,train
1,154,0train,0,left_hand,train
1,155,0train,0,left_hand,train
1,156,0train,1,right_hand,val
1,157,0train,3,tongue,train
1,158,0train,2,feet,train
1,159,0train,1,right_hand,train
1,160,0train,3,tongue,train
1,161,0train,2,feet,train
1,162,0train,3,tongue,train
1,163,0train,2,feet,train
1,164,0train,3,tongue,train
1,165,0train,1,right_hand,train
1,166,0train,1,right_hand,train
1,167,0train,3,tongue,val
1,168,0train,0,left_hand,train
1,169,0train,1,right_hand,train
1,170,0train,1,right_hand,train
1,171,0train,1,right_hand,train
1,172,0train,2,feet,train
1,173,0train,3,tongue,train
1,174,0train,0,left_hand,val
1,175,0train,3,tongue,train
1,176,0train,0,left_hand,train
1,177,0train,2,feet,train
1,178,0train,0,left_hand,train
1,179,0train,3,tongue,train
1,180,0train,0,left_hand,train
1,181,0train,2,feet,train
1,182,0train,0,left_hand,train
1,183,0train,1,right_hand,train
1,184,0train,2,feet,val
1,185,0train,2,feet,train
1,186,0train,3,tongue,train
1,187,0train,0,left_hand,train
1,188,0train,1,right_hand,train
1,189,0train,3,tongue,train
1,190,0train,1,right_hand,train
1,191,0train,2,feet,train
1,192,0train,2,feet,val
1,193,0train,0,left_hand,val
1,194,0train,3,tongue,train
1,195,0train,1,right_hand,train
1,196,0train,3,tongue,train
1,197,0train,0,left_hand,val
1,198,0train,0,left_hand,train
1,199,0train,2,feet,train
1,200,0train,2,feet,val
1,201,0train,1,right_hand,train
1,202,0train,3,tongue,train
1,203,0train,1,right_hand,train
1,204,0train,1,right_hand,train
1,205,0train,0,left_hand,train
1,206,0train,1,right_hand,train
1,207,0train,3,tongue,train
1,208,0train,3,tongue,val
1,209,0train,1,right_hand,train
1,210,0train,1,right_hand,train
1,211,0train,1,right_hand,train
1,212,0train,1,right_hand,train
1,213,0train,3,tongue,train
1,214,0train,3,tongue,train
1,215,0train,2,feet,train
1,216,0train,3,tongue,train
1,217,0train,0,left_hand,train
1,218,0train,1,right_hand,train
1,219,0train,2,feet,train
1,220,0train,1,right_hand,train
1,221,0train,0,left_hand,train
1,222,0train,3,tongue,train
1,223,0train,0,left_hand,train
1,224,0train,3,tongue,train
1,225,0train,0,left_hand,train
1,226,0train,0,left_hand,train
1,227,0train,0,left_hand,train
1,228,0train,0,left_hand,val
1,229,0train,2,feet,train
1,230,0train,2,feet,train
1,231,0train,3,tongue,train
1,232,0train,1,right_hand,train
1,233,0train,2,feet,train
1,234,0train,2,feet,train
1,235,0train,2,feet,train
1,236,0train,3,tongue,train
1,237,0train,2,feet,train
1,238,0train,0,left_hand,val
1,239,0train,2,feet,train
1,240,0train,0,left_hand,train
1,241,0train,3,tongue,val
1,242,0train,1,right_hand,train
1,243,0train,3,tongue,train
1,244,0train,3,tongue,train
1,245,0train,2,feet,train
1,246,0train,3,tongue,train
1,247,0train,3,tongue,train
1,248,0train,2,feet,train
1,249,0train,1,right_hand,val
1,250,0train,3,tongue,train
1,251,0train,2,feet,train
1,252,0train,0,left_hand,train
1,253,0train,1,right_hand,train
1,254,0train,1,right_hand,train
1,255,0train,1,right_hand,train
1,256,0train,2,feet,train
1,257,0train,1,right_hand,val
1,258,0train,3,tongue,val
1,259,0train,2,feet,train
1,260,0train,3,tongue,train
1,261,0train,1,right_hand,train
1,262,0train,2,feet,val
1,263,0train,0,left_hand,train
1,264,0train,3,tongue,train
1,265,0train,0,left_hand,train
1,266,0train,2,feet,train
1,267,0train,3,tongue,train
1,268,0train,0,left_hand,train
1,269,0train,2,feet,train
1,270,0train,0,left_hand,val
1,271,0train,1,right_hand,val
1,272,0train,1,right_hand,train
1,273,0train,0,left_hand,train
1,274,0train,3,tongue,train
1,275,0train,0,left_hand,val
1,276,0train,3,tongue,train
1,277,0train,2,feet,train
1,278,0train,2,feet,train
1,279,0train,0,left_hand,train
1,280,0train,2,feet,train
1,281,0train,1,right_hand,val
1,282,0train,1,right_hand,train
1,283,0train,0,left_hand,train
1,284,0train,2,feet,train
1,285,0train,0,left_hand,train
1,286,0train,1,right_hand,train
1,287,0train,0,left_hand,train
1,288,1test,0,left_hand,test
1,289,1test,1,right_hand,test
1,290,1test,1,right_hand,test
1,291,1test,0,left_hand,test
1,292,1test,1,right_hand,test
1,293,1test,0,left_hand,test
1,294,1test,1,right_hand,test
1,295,1test,2,feet,test
1,296,1test,1,right_hand,test
1,297,1test,3,tongue,test
1,298,1test,0,left_hand,test
1,299,1test,2,feet,test
1,300,1test,1,right_hand,test
1,301,1test,0,left_hand,test
1,302,1test,3,tongue,test
1,303,1test,3,tongue,test
1,304,1test,3,tongue,test
1,305,1test,3,tongue,test
1,306,1test,3,tongue,test
1,307,1test,0,left_hand,test
1,308,1test,2,feet,test
1,309,1test,1,right_hand,test
1,310,1test,0,left_hand,test
1,311,1test,0,left_hand,test
1,312,1test,2,feet,test
1,313,1test,3,tongue,test
1,314,1test,0,left_hand,test
1,315,1test,2,feet,test
1,316,1test,2,feet,test
1,317,1test,2,feet,test
1,318,1test,0,left_hand,test
1,319,1test,1,right_hand,test
1,320,1test,0,left_hand,test
1,321,1test,1,right_hand,test
1,322,1test,1,right_hand,test
1,323,1test,0,left_hand,test
1,324,1test,1,right_hand,test
1,325,1test,2,feet,test
1,326,1test,1,right_hand,test
1,327,1test,2,feet,test
1,328,1test,2,feet,test
1,329,1test,3,tongue,test
1,330,1test,2,feet,test
1,331,1test,2,feet,test
1,332,1test,3,tongue,test
1,333,1test,3,tongue,test
1,334,1test,3,tongue,test
1,335,1test,3,tongue,test
1,336,1test,3,tongue,test
1,337,1test,2,feet,test
1,338,1test,1,right_hand,test
1,339,1test,0,left_hand,test
1,340,1test,0,left_hand,test
1,341,1test,1,right_hand,test
1,342,1test,2,feet,test
1,343,1test,3,tongue,test
1,344,1test,1,right_hand,test
1,345,1test,2,feet,test
1,346,1test,0,left_hand,test
1,347,1test,0,left_hand,test
1,348,1test,0,left_hand,test
1,349,1test,3,tongue,test
1,350,1test,1,right_hand,test
1,351,1test,1,right_hand,test
1,352,1test,0,left_hand,test
1,353,1test,0,left_hand,test
1,354,1test,2,feet,test
1,355,1test,0,left_hand,test
1,356,1test,1,right_hand,test
1,357,1test,3,tongue,test
1,358,1test,3,tongue,test
1,359,1test,2,feet,test
1,360,1test,0,left_hand,test
1,361,1test,3,tongue,test
1,362,1test,3,tongue,test
1,363,1test,1,right_hand,test
1,364,1test,3,tongue,test
1,365,1test,3,tongue,test
1,366,1test,1,right_hand,test
1,367,1test,0,left_hand,test
1,368,1test,1,right_hand,test
1,369,1test,2,feet,test
1,370,1test,2,feet,test
1,371,1test,2,feet,test
1,372,1test,3,tongue,test
1,373,1test,2,feet,test
1,374,1test,0,left_hand,test
1,375,1test,3,tongue,test
1,376,1test,1,right_hand,test
1,377,1test,2,feet,test
1,378,1test,1,right_hand,test
1,379,1test,2,feet,test
1,380,1test,3,tongue,test
1,381,1test,1,right_hand,test
1,382,1test,2,feet,test
1,383,1test,0,left_hand,test
1,384,1test,0,left_hand,test
1,385,1test,0,left_hand,test
1,386,1test,3,tongue,test
1,387,1test,1,right_hand,test
1,388,1test,0,left_hand,test
1,389,1test,2,feet,test
1,390,1test,0,left_hand,test
1,391,1test,2,feet,test
1,392,1test,1,right_hand,test
1,393,1test,3,tongue,test
1,394,1test,0,left_hand,test
1,395,1test,2,feet,test
1,396,1test,2,feet,test
1,397,1test,0,left_hand,test
1,398,1test,2,feet,test
1,399,1test,1,right_hand,test
1,400,1test,3,tongue,test
1,401,1test,3,tongue,test
1,402,1test,3,tongue,test
1,403,1test,2,feet,test
1,404,1test,0,left_hand,test
1,405,1test,3,tongue,test
1,406,1test,1,right_hand,test
1,407,1test,3,tongue,test
1,408,1test,1,right_hand,test
1,409,1test,0,left_hand,test
1,410,1test,2,feet,test
1,411,1test,1,right_hand,test
1,412,1test,0,left_hand,test
1,413,1test,2,feet,test
1,414,1test,2,feet,test
1,415,1test,0,left_hand,test
1,416,1test,2,feet,test
1,417,1test,3,tongue,test
1,418,1test,3,tongue,test
